,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
アルゼンチン,-0.789,-4.409,-10.894,8.955,8.911,8.852,8.047,9.008,4.057,-5.919,10.125,6.004,-1.026,2.405,-2.513,2.731,-2.08,2.819,-2.617,-2.001,-9.943,10.398,5.243,0.2,2,2,2,2,2
オーストラリア,3.092,2.655,4.164,3.019,4.112,2.998,2.616,4.375,2.542,1.949,2.415,2.763,3.768,2.203,2.56,2.283,2.691,2.383,2.815,1.943,-1.814,5.196,3.661,1.596,1.698,2.091,2.19,2.283,2.285
オーストリア,3.376,1.267,1.652,0.941,2.735,2.244,3.454,3.727,1.46,-3.765,1.837,2.923,0.68,0.026,0.661,1.015,1.989,2.259,2.425,1.517,-6.454,4.557,4.997,0.44,1.079,1.766,1.673,1.683,1.527
アゼルバイジャン,6.227,6.486,9.439,10.208,9.254,27.962,34.466,25.463,10.591,9.37,4.789,-1.573,2.203,5.843,2.798,1.05,-3.064,0.154,1.5,2.48,-4.199,5.6,4.646,2.999,2.567,2.535,2.53,2.551,2.572
バーレーン,7.018,2.491,3.349,6.296,6.981,6.769,6.467,8.294,6.242,2.541,4.337,1.984,3.728,5.416,4.351,2.485,3.558,4.292,2.11,2.167,-4.645,2.67,4.194,3.004,3.773,3.164,2.666,2.72,2.733
バングラデシュ,5.293,5.077,3.833,4.74,5.24,6.536,6.672,7.059,6.014,5.045,5.572,6.464,6.521,6.014,6.061,6.553,7.114,6.59,7.319,7.882,3.448,6.939,7.1,5.5,6.5,7.1,7.3,7.4,7
ベラルーシ,5.76,4.717,5.048,7.033,11.439,9.452,10.001,8.637,10.235,0.168,7.805,5.29,1.629,0.962,1.686,-3.83,-2.536,2.541,3.138,1.446,-0.673,2.273,-4.741,0.71,1.197,1.03,0.747,0.632,0.741
ブラジル,4.388,1.39,3.053,1.141,5.76,3.202,3.962,6.07,5.094,-0.126,7.528,3.974,1.921,3.005,0.504,-3.546,-3.276,1.323,1.784,1.221,-3.277,4.989,2.901,0.916,1.486,1.918,1.99,2.015,2.015
カンボジア,9.575,8.561,6.579,8.506,10.341,13.25,10.771,10.213,6.692,0.087,5.963,7.07,7.313,7.357,7.143,7.036,6.863,6.997,7.469,7.054,-3.096,3.026,5.012,5.819,6.213,6.378,6.514,6.24,6.304
カメルーン,3.363,3.356,4.847,4.994,6.561,1.218,3.524,4.1,2.858,2.619,2.935,3.484,4.508,4.987,5.779,5.6,4.479,3.541,4.022,3.422,0.539,3.649,3.383,4.322,4.384,4.529,4.639,4.73,4.732
カナダ,5.178,1.79,3.018,1.802,3.087,3.204,2.634,2.072,1.004,-2.926,3.09,3.146,1.761,2.329,2.87,0.659,1.001,3.04,2.777,1.888,-5.074,5.012,3.396,1.453,1.498,2.247,1.88,1.699,1.669
チリ,4.972,3.154,3.203,4.723,6.674,5.837,6.05,5.168,3.789,-1.118,5.852,6.224,6.155,3.309,1.793,2.152,1.753,1.358,3.99,0.743,-6.145,11.737,2.44,-0.99,1.894,2.187,2.15,2.408,2.486
中国,8.472,8.319,9.115,10.021,10.114,11.389,12.71,14.247,9.592,9.446,10.611,9.551,7.848,7.771,7.391,7.018,6.851,6.947,6.751,5.951,2.242,8.45,2.988,5.238,4.481,4.08,3.958,3.62,3.437
