,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
アルゼンチン,317.76,300.42,112.46,142.43,164.91,199.27,232.89,287.92,363.55,334.63,424.73,527.64,579.67,611.47,563.61,642.46,556.77,643.86,524.43,451.82,389.06,486.70,632.24,641.10,638.58,635.71,650.14,680.51,712.15
オーストラリア,399.96,377.78,425.29,541.06,658.57,735.94,782.80,949.53,1056.49,1000.80,1254.50,1515.08,1569.43,1519.02,1456.60,1233.10,1263.52,1381.62,1417.03,1385.26,1360.69,1646.39,1701.89,1707.55,1720.12,1787.45,1854.39,1929.68,2005.40
オーストリア,197.38,197.51,214.24,262.21,301.32,316.27,336.30,389.23,432.01,401.32,392.60,431.61,409.66,430.20,442.70,382.01,395.73,417.11,455.20,444.67,434.88,480.69,471.69,515.20,530.11,548.97,563.80,584.25,595.40
アゼルバイジャン,5.27,5.48,6.23,7.28,8.68,13.27,21.03,33.09,48.98,44.29,52.91,65.99,69.69,74.16,75.24,50.84,37.83,41.38,47.11,48.17,42.69,54.62,69.91,70.03,74.68,79.51,84.00,88.61,93.63
バーレーン,9.06,9.19,9.59,11.08,13.15,15.97,18.51,21.73,25.71,22.94,25.71,28.78,30.75,32.54,33.39,31.05,32.24,35.47,37.80,38.65,34.62,39.30,44.39,44.87,47.09,49.35,51.47,53.72,56.12
バングラデシュ,61.69,62.54,65.04,71.76,77.15,79.53,86.03,95.37,109.77,122.76,138.09,154.10,159.75,179.68,207.10,233.69,265.24,293.76,321.38,351.24,373.90,416.27,460.20,420.52,469.35,525.29,589.00,663.60,744.07
ベラルーシ,10.79,12.78,15.09,18.42,23.93,31.24,38.22,46.82,62.80,50.86,57.22,61.37,65.67,75.50,78.74,56.33,47.70,54.72,60.01,64.41,61.31,68.21,73.12,73.54,75.26,77.66,80.04,82.49,85.83
ブラジル,655.45,559.98,509.80,558.23,669.29,891.63,1107.63,1397.11,1695.86,1669.20,2208.70,2614.03,2464.05,2471.72,2456.06,1800.05,1796.62,2063.52,1916.93,1873.29,1476.09,1648.70,1924.13,2081.24,2210.62,2321.85,2449.00,2587.52,2758.83
カンボジア,3.67,3.99,4.29,4.67,5.33,6.29,7.27,8.63,10.34,10.39,11.23,12.82,14.06,15.23,16.70,18.08,20.04,22.21,24.60,27.09,25.77,26.60,28.54,30.63,32.93,35.53,38.42,41.40,44.66
カメルーン,10.25,10.95,12.37,15.94,18.80,19.53,20.91,23.93,27.71,27.90,27.53,30.63,30.17,33.73,36.40,32.21,33.81,36.09,39.99,39.67,40.86,45.39,43.72,48.63,52.60,55.15,57.14,58.90,60.30
カナダ,744.63,738.97,760.15,895.60,1026.47,1173.51,1319.36,1468.90,1552.86,1376.51,1617.35,1793.33,1828.36,1846.60,1805.75,1556.51,1528.00,1649.27,1725.30,1743.73,1647.60,2001.49,2139.84,2089.67,2178.82,2280.96,2385.40,2492.36,2605.18
チリ,78.25,71.52,70.30,76.51,99.08,122.32,153.84,172.57,179.66,171.79,217.11,251.23,267.17,277.22,259.39,242.52,249.31,276.36,295.43,278.35,254.28,316.67,300.73,358.56,375.70,390.64,405.40,422.35,441.44
中国,1205.53,1333.65,1465.83,1656.96,1949.45,2290.02,2754.15,3555.66,4577.28,5088.99,6033.83,7492.21,8539.58,9624.93,10524.24,11113.51,11226.90,12265.33,13841.81,14340.60,14862.56,17759.31,18100.04,19373.59,20881.37,22407.69,24035.81,25722.41,27492.80
コロンビア,99.27,97.61,97.35,94.07,116.38,145.60,161.79,206.23,242.50,232.47,286.50,334.97,370.69,382.09,381.24,293.49,282.72,311.89,334.12,323.06,270.15,318.51,343.94,334.69,347.37,364.47,384.26,404.95,426.76
クロアチア,22.14,23.06,26.74,35.25,41.84,45.05,49.53,59.18,68.34,61.87,58.74,62.59,57.27,59.37,59.23,50.75,52.38,55.92,61.36,61.34,57.58,68.89,71.02,78.88,82.96,87.05,91.21,95.18,98.76
デンマーク,164.16,164.79,178.64,218.10,251.38,264.47,282.89,319.42,353.36,321.24,322.00,344.00,327.15,343.58,352.99,302.67,313.12,332.12,356.84,346.50,355.22,398.30,390.68,405.63,419.89,437.63,455.95,475.38,495.77
エクアドル,18.32,24.47,28.55,32.43,36.59,41.51,46.80,51.01,61.76,62.52,69.56,79.28,87.93,95.13,101.73,99.29,99.94,104.30,107.56,108.11,99.29,106.17,116.36,121.29,126.45,131.20,136.31,141.51,146.91
エジプト,104.75,102.27,90.26,85.16,82.86,94.13,112.90,137.06,170.80,198.32,230.02,247.73,294.48,303.19,321.63,350.12,351.44,246.83,263.16,317.89,382.53,423.30,475.23,387.11,368.31,400.60,434.21,470.47,509.92
エストニア,5.71,6.27,7.39,9.89,12.16,14.13,17.05,22.48,24.43,19.69,19.57,23.21,23.03,25.12,26.64,22.89,24.07,26.92,30.64,31.09,31.35,37.22,38.13,41.55,44.56,48.54,51.98,55.51,59.07
エチオピア,8.17,8.10,7.83,8.60,10.12,12.39,15.31,19.33,26.25,28.67,26.89,30.48,42.22,46.54,54.17,63.08,72.12,76.84,80.21,92.61,96.61,99.27,120.37,156.08,184.22,213.20,234.67,256.61,280.98
フィンランド,126.08,129.53,140.31,171.61,197.39,205.00,217.10,256.41,285.69,253.22,249.63,275.56,258.45,271.37,274.93,234.56,240.71,255.56,275.83,268.55,271.67,296.59,281.05,301.67,310.61,319.37,328.03,336.15,343.24
フランス,1366.24,1377.67,1500.35,1844.08,2118.67,2198.16,2320.66,2660.91,2929.98,2697.96,2647.35,2864.65,2685.37,2811.92,2856.70,2439.44,2472.28,2594.24,2792.22,2729.17,2635.92,2957.42,2784.02,2923.49,3018.89,3133.40,3232.74,3321.71,3390.90
グルジア,3.14,3.31,3.49,4.10,5.27,6.59,7.98,10.46,13.16,11.07,12.24,15.11,16.49,17.19,17.63,14.95,15.14,16.24,17.60,17.48,15.85,18.63,24.61,27.95,29.95,32.53,35.24,38.12,40.94
ドイツ,1948.84,1945.80,2077.02,2501.01,2813.08,2848.44,2994.86,3425.98,3744.85,3407.56,3402.44,3748.66,3529.38,3733.86,3890.10,3357.93,3468.90,3689.55,3976.25,3888.66,3886.56,4262.77,4075.40,4308.85,4446.47,4635.16,4822.11,4947.32,5044.44
ガーナ,11.47,12.23,14.21,17.53,20.30,24.60,28.88,34.04,38.66,34.60,43.33,53.85,56.85,63.70,54.29,49.44,56.14,60.39,67.26,68.35,70.01,79.16,72.84,66.62,67.90,71.79,76.23,81.21,86.62
ギリシャ,131.08,135.16,153.15,200.61,238.82,245.92,271.25,316.25,352.87,328.16,297.37,282.95,242.18,238.91,235.52,195.70,193.10,199.77,212.15,205.28,188.77,215.02,219.24,239.30,248.27,256.70,264.34,271.31,276.70
グアテマラ,18.12,19.74,21.92,23.09,24.98,28.18,31.31,35.03,40.24,38.00,41.49,47.42,49.90,52.99,57.84,62.18,66.03,71.62,73.33,77.15,77.63,86.99,93.66,102.31,111.02,119.48,128.23,137.73,147.99
香港,171.64,169.38,166.34,161.37,169.09,181.56,193.52,211.58,219.28,214.05,228.64,248.51,262.63,275.70,291.46,309.39,320.86,341.27,361.73,363.08,344.94,368.92,360.98,382.85,403.55,424.48,445.90,468.01,490.97
ハンガリー,47.22,53.75,67.61,85.29,104.12,113.21,115.72,140.19,158.33,131.07,132.18,141.94,128.81,135.68,141.03,125.17,128.61,143.11,160.57,163.98,157.18,181.85,168.29,188.51,203.32,212.23,219.95,226.09,230.88
インド,476.61,493.95,523.97,618.36,721.59,834.22,949.12,1238.70,1224.10,1365.37,1708.46,1823.05,1827.64,1856.72,2039.13,2103.59,2294.80,2651.47,2702.93,2835.61,2671.60,3150.31,3386.40,3736.88,4062.15,4403.35,4765.55,5153.01,5575.47
インドネシア,179.48,174.51,212.81,255.43,279.56,310.82,396.29,470.14,558.58,577.54,755.26,892.59,919.00,916.65,891.05,860.74,932.07,1015.49,1042.71,1119.45,1062.53,1187.73,1318.81,1391.78,1508.55,1631.61,1760.51,1898.99,2048.50
イラク,25.86,18.94,18.97,15.80,36.64,50.07,65.14,88.83,131.61,111.66,138.52,185.75,218.03,234.64,234.65,177.63,167.81,192.34,227.19,234.02,169.35,206.52,270.36,267.89,277.83,289.10,301.81,314.93,329.10
アイルランド,100.25,109.35,128.51,164.63,194.28,211.99,232.19,270.11,275.42,236.19,222.10,238.96,225.77,238.34,259.24,291.81,299.01,336.26,385.91,399.37,425.51,504.52,529.66,594.10,633.70,667.66,698.21,729.27,757.47
イスラエル,136.03,134.64,125.06,131.30,139.97,147.08,158.67,184.05,220.53,211.97,238.36,266.79,262.28,297.73,314.33,303.41,322.10,358.25,376.69,402.47,413.27,488.53,522.53,539.22,563.27,590.04,618.04,648.11,679.46
イタリア,1147.18,1168.03,1275.87,1577.23,1805.72,1859.24,1949.66,2213.36,2408.39,2197.54,2137.85,2294.59,2088.28,2141.95,2162.57,1836.82,1876.55,1961.10,2092.88,2011.52,1895.69,2115.76,2012.01,2169.75,2217.75,2285.28,2347.43,2406.85,2450.43
ジャマイカ,9.07,9.20,9.72,9.43,10.18,11.23,11.95,12.88,13.74,12.11,13.19,14.41,14.77,14.21,13.87,14.15,14.11,14.76,15.65,15.81,13.89,14.67,16.04,17.25,18.11,18.89,19.59,20.30,21.05
日本,4968.36,4374.71,4182.85,4519.56,4893.14,4831.47,4601.66,4579.75,5106.68,5289.49,5759.07,6233.15,6272.36,5212.33,4897.00,4444.93,5003.68,4930.84,5040.88,5118.00,5048.79,5005.54,4233.54,4409.74,4526.48,4731.50,4923.43,5077.12,5344.03
カザフスタン,18.29,22.15,24.64,30.83,43.15,57.13,81.00,104.85,133.44,115.31,148.05,192.63,208.00,236.64,221.42,184.39,137.29,166.81,179.34,181.67,171.08,197.11,225.78,245.70,259.68,275.63,286.96,298.18,316.21
ケニア,18.21,18.70,19.03,21.39,22.79,26.31,29.67,36.71,41.06,42.35,45.41,46.87,56.40,61.67,68.29,70.12,74.82,82.04,92.20,100.38,100.67,110.35,115.99,118.13,121.48,128.96,135.97,143.87,151.98
韓国,576.48,547.74,626.99,702.70,792.53,934.71,1052.61,1172.47,1049.17,943.74,1143.57,1253.42,1278.05,1370.63,1484.49,1466.04,1499.36,1623.07,1725.37,1651.42,1644.68,1810.97,1665.25,1721.91,1792.73,1870.63,1949.78,2033.33,2123.03
クウェート,37.72,34.89,38.14,47.84,59.44,80.81,101.56,114.68,147.40,105.99,115.40,154.02,174.07,174.18,162.70,114.61,109.38,120.69,138.20,136.19,105.95,136.80,184.56,164.71,165.21,166.60,169.57,172.65,176.37
マレーシア,102.15,101.05,109.83,120.03,135.87,150.36,170.51,202.87,242.08,212.03,258.84,302.64,319.15,328.07,343.09,301.36,301.92,319.25,358.99,365.28,337.61,373.03,407.92,447.03,481.80,520.31,559.14,595.07,634.98
モルディブ,0.80,0.77,0.83,1.05,1.23,1.16,1.58,1.87,2.27,2.35,2.59,2.63,2.89,3.29,3.69,4.10,4.37,4.75,5.29,5.60,3.74,5.39,6.21,7.00,7.61,8.29,8.95,9.63,10.32
メキシコ,707.91,756.69,772.11,729.34,782.24,877.48,975.38,1052.70,1109.99,900.05,1057.80,1180.49,1201.09,1274.44,1315.36,1171.87,1078.49,1158.91,1222.41,1269.01,1090.52,1272.84,1414.10,1663.16,1732.95,1796.64,1860.42,1928.85,2003.18
モロッコ,42.05,42.70,45.71,56.35,64.53,67.47,74.28,85.54,100.11,100.54,100.88,109.71,106.35,115.61,119.13,110.41,111.57,118.54,127.34,128.92,121.35,142.87,138.05,138.78,147.08,155.35,163.61,172.55,181.98
ミャンマー,7.74,7.13,6.92,8.88,10.75,12.13,13.59,17.86,25.47,30.86,38.08,53.92,59.00,60.90,63.15,62.66,60.09,61.27,66.70,68.80,81.26,65.16,56.76,63.99,67.35,70.77,74.35,78.26,82.78
ナミビア,3.94,3.58,3.40,4.97,6.67,7.32,7.71,8.73,8.50,8.92,11.28,12.42,13.02,12.17,12.43,11.45,10.72,12.88,13.68,12.54,10.58,12.31,12.35,13.49,14.29,14.81,15.21,15.55,15.79
ネパール,6.54,6.72,6.82,7.22,8.30,9.33,10.31,11.78,14.31,14.66,18.25,21.68,21.70,22.16,22.72,24.36,24.52,28.97,33.11,34.19,33.43,36.29,40.15,42.10,46.21,50.21,54.52,59.20,64.33
オランダ,417.66,431.59,473.53,579.93,658.08,685.73,733.99,848.66,951.77,870.57,848.07,905.11,839.46,877.19,892.40,765.65,783.84,833.58,914.46,910.30,909.07,1013.52,993.68,1080.88,1135.12,1175.50,1214.30,1251.47,1284.13
ニュージーランド,54.13,53.13,62.06,82.41,101.60,113.26,109.74,134.88,135.37,121.70,145.36,166.94,175.04,187.14,200.16,176.21,185.90,203.56,209.62,210.83,210.09,249.31,241.94,251.97,251.40,260.37,272.82,286.60,301.36
ナイジェリア,67.82,73.13,93.98,102.94,130.35,169.65,222.79,262.22,330.26,297.46,369.06,414.10,460.95,514.97,568.50,492.44,404.65,375.75,421.74,448.12,429.42,441.42,477.38,506.60,553.67,625.36,708.37,805.32,915.63
ノルウェー,171.46,174.24,195.92,229.39,265.27,309.98,346.91,402.65,464.92,387.97,431.05,501.36,512.78,526.01,501.74,388.16,370.96,401.75,439.79,408.74,367.63,490.29,579.27,554.11,564.40,571.70,573.27,582.12,591.43
オマーン,22.26,22.21,23.07,24.73,28.38,35.51,42.58,48.30,69.81,55.45,64.99,77.50,87.41,89.94,92.70,78.71,75.13,80.86,91.51,88.06,73.97,88.19,114.67,104.90,109.69,112.32,115.58,119.53,123.94
ペルー,50.41,51.03,53.95,58.54,66.13,74.23,87.46,102.19,121.25,121.76,148.95,170.92,193.10,202.58,202.88,192.03,195.46,215.68,226.80,232.35,205.82,225.94,242.40,268.24,279.46,292.89,306.95,321.48,336.74
フィリピン,83.67,78.92,84.31,87.04,95.00,107.42,127.65,155.98,181.01,176.13,208.37,234.22,261.92,283.90,297.48,306.45,318.63,328.48,346.84,376.82,361.75,394.09,404.26,440.90,475.65,512.01,551.12,593.71,640.18
ポーランド,171.61,190.81,199.07,217.83,255.29,306.30,344.63,429.02,533.60,439.79,475.70,524.37,495.23,515.76,539.21,476.79,469.65,524.78,588.80,595.97,599.46,679.52,688.30,748.89,800.48,864.36,920.31,971.47,1003.03
ポルトガル,118.66,121.61,134.70,165.19,189.30,197.36,208.77,240.52,263.39,244.40,238.31,245.08,216.36,226.44,229.96,199.41,206.37,221.28,242.42,240.01,228.85,254.15,252.38,267.72,277.81,288.96,299.59,309.93,318.60
