,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
アルゼンチン,-0.94,-1.07,25.87,13.44,4.42,9.64,10.90,8.83,8.59,6.27,10.46,9.78,10.04,10.62,0.00,0.00,0.00,25.68,34.28,53.55,42.02,48.41,72.43,98.59,60.15,46.91,42.13,37.14,32.47
オーストラリア,4.46,4.41,3.05,2.73,2.34,2.66,3.55,2.36,4.35,1.77,2.86,3.36,1.69,2.45,2.51,1.49,1.28,2.00,1.93,1.59,0.87,2.82,6.62,5.35,3.20,3.03,2.69,2.68,2.57
オーストリア,1.96,2.30,1.68,1.30,1.96,2.10,1.69,2.20,3.23,0.41,1.69,3.54,2.57,2.12,1.47,0.81,0.97,2.23,2.12,1.49,1.39,2.76,8.61,8.17,3.01,2.20,2.03,2.00,2.01
アゼルバイジャン,1.81,1.77,2.76,2.12,6.71,9.58,8.23,16.59,20.78,1.35,5.66,7.75,1.01,2.42,1.45,4.05,12.44,12.84,2.33,2.71,2.82,6.66,13.80,11.25,8.00,6.00,4.50,4.00,4.00
バーレーン,-0.73,-1.18,-0.50,1.68,2.25,2.62,2.04,3.25,3.53,2.79,1.96,-0.34,2.76,3.30,2.65,1.85,2.79,1.39,2.09,1.01,-2.33,-0.61,3.64,2.15,2.15,2.11,2.00,2.00,2.00
バングラデシュ,3.62,1.81,2.41,3.88,8.14,6.49,7.16,7.21,9.94,6.66,7.32,8.79,8.89,6.78,7.35,6.41,5.92,5.44,5.78,5.48,5.65,5.56,6.15,8.61,6.50,5.60,5.50,5.50,5.50
ベラルーシ,168.60,61.13,42.57,28.40,18.09,10.34,6.99,8.43,14.83,12.95,7.74,53.23,59.22,18.30,18.11,13.52,11.83,6.03,4.87,5.60,5.54,9.45,14.85,7.46,10.13,7.09,5.67,5.02,5.02
ブラジル,7.04,6.84,8.45,14.71,6.60,6.87,4.18,3.64,5.68,4.89,5.04,6.64,5.40,6.20,6.33,9.03,8.74,3.45,3.67,3.73,3.21,8.30,9.28,5.03,4.79,2.95,3.03,3.05,2.97
カンボジア,-0.83,-0.12,-0.04,1.03,3.93,6.35,6.14,7.67,25.00,-0.66,4.00,5.48,2.93,2.94,3.85,1.22,3.04,2.91,2.46,1.94,2.94,2.92,5.33,2.99,3.04,3.04,3.04,3.00,3.00
カメルーン,1.25,4.45,2.82,0.63,0.25,1.99,4.91,1.13,5.34,3.04,1.28,2.96,2.38,2.05,1.86,2.68,0.87,0.64,1.06,2.46,2.45,2.26,5.30,5.90,4.70,3.00,2.30,2.00,2.00
カナダ,2.72,2.53,2.26,2.76,1.86,2.21,2.00,2.14,2.37,0.30,1.78,2.91,1.52,0.94,1.91,1.13,1.43,1.60,2.27,1.95,0.72,3.40,6.80,3.90,2.39,1.88,1.88,1.90,1.97
チリ,3.84,3.57,2.49,2.81,1.05,3.05,3.40,4.41,8.72,1.50,1.41,3.34,3.00,1.79,4.71,4.35,3.79,2.18,2.32,2.25,3.04,4.52,11.65,7.88,4.04,3.04,3.04,3.04,3.04
中国,0.36,0.71,-0.74,1.13,3.83,1.78,1.65,4.82,5.91,-0.73,3.18,5.53,2.61,2.57,2.05,1.54,2.12,1.52,1.93,2.90,2.49,0.85,1.88,1.99,2.19,2.20,2.20,2.20,2.20
コロンビア,9.22,7.96,6.35,7.12,5.91,5.05,4.30,5.54,7.00,4.19,2.27,3.42,3.17,2.02,2.91,4.99,7.51,4.31,3.24,3.52,2.53,3.50,10.18,10.85,5.44,3.05,2.95,2.97,2.96
クロアチア,4.61,4.26,2.53,2.40,2.14,3.00,3.29,2.66,5.80,2.23,1.08,2.21,3.35,2.33,0.22,-0.26,-0.63,1.30,1.56,0.79,-0.03,2.72,10.67,7.39,3.56,2.23,2.19,2.18,2.08
