,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
アルゼンチン,"8,638.54","8,085.36","2,997.62","3,761.09","4,314.10","5,163.55","5,976.08","7,315.73","9,146.79","8,337.81","10,412.97","12,787.81","13,889.79","14,488.83","13,208.83","14,895.32","12,772.87","14,618.33","11,786.43","10,054.02","8,571.94","10,616.95","13,655.20","13,709.49","13,520.40","13,326.20","13,493.90","13,984.39","14,489.74"
オーストラリア,"20,895.40","19,486.80","21,692.33","27,288.99","32,853.01","36,232.61","37,949.10","45,180.86","49,194.71","45,770.50","56,579.03","67,270.36","68,450.31","65,200.37","61,615.05","51,412.25","51,813.64","55,797.38","56,341.94","54,266.75","53,071.72","63,896.30","65,526.12","64,964.28","64,602.67","66,302.83","67,970.20","70,251.20","72,142.30"
オーストリア,"24,636.47","24,558.92","26,508.32","32,298.61","36,883.89","38,450.61","40,674.88","46,922.56","51,914.01","48,111.66","46,955.17","51,452.28","48,616.90","50,747.38","51,814.42","44,267.81","45,278.83","47,320.54","51,234.48","50,195.32","48,857.08","53,528.71","52,264.87","56,802.39","58,155.20","59,925.05","61,238.08","63,143.03","64,008.69"
アゼルバイジャン,656.386,674.783,760.812,879.863,"1,039.82","1,571.29","2,458.42","3,818.27","5,578.56","4,963.77","5,880.81","7,242.81","7,545.87","7,926.09","7,939.17","5,300.14","3,897.71","4,217.65","4,759.80","4,826.35","4,240.84","5,397.93","6,826.43","6,757.39","7,120.77","7,490.94","7,820.63","8,152.21","8,511.80"
バーレーン,"14,214.58","13,894.34","13,501.55","14,486.06","15,963.98","17,966.22","19,267.57","20,908.34","23,236.06","19,465.29","20,827.72","24,080.43","25,434.45","25,965.31","25,398.32","22,659.37","22,641.28","23,631.59","25,149.47","26,051.30","23,517.24","26,126.26","28,784.99","28,385.77","29,064.15","29,712.67","30,226.16","30,778.06","31,364.06"
バングラデシュ,483.217,480.724,490.919,532.343,563.21,572.014,610.469,668.54,760.65,841.252,935.755,"1,032.31","1,057.88","1,176.16","1,340.29","1,495.54","1,679.02","1,839.76","1,991.74","2,154.23","2,270.35","2,497.74","2,730.85","2,469.58","2,728.46","3,023.50","3,357.59","3,747.65","4,164.23"
ベラルーシ,"1,079.61","1,283.27","1,524.49","1,873.67","2,450.90","3,221.46","3,968.75","4,887.28","6,581.18","5,345.33","6,025.69","6,478.89","6,948.35","7,995.73","8,337.15","5,958.84","5,037.85","5,778.56","6,351.76","6,831.52","6,515.65","7,294.90","7,859.63","7,944.77","8,171.61","8,474.37","8,777.15","9,091.87","9,507.42"
ブラジル,"3,772.05","3,177.94","2,856.03","3,089.14","3,660.02","4,819.87","5,921.18","7,390.65","8,878.36","8,649.58","11,333.02","13,295.90","12,424.95","12,358.34","12,175.68","8,846.48","8,757.30","9,978.09","9,194.15","8,914.17","6,970.72","7,754.61","8,995.03","9,673.09","10,217.93","10,676.19","11,202.21","11,658.21","12,124.12"
カンボジア,299.982,320.046,337.501,360.659,405.618,470.64,536.135,627.781,741.822,737.177,788.182,889.745,965.379,"1,034.77","1,123.13","1,203.44","1,320.28","1,448.02","1,587.94","1,736.32","1,643.76","1,679.92","1,784.79","1,896.13","2,018.70","2,156.26","2,308.24","2,463.24","2,630.45"
カメルーン,660.382,687.404,756.14,949.02,"1,089.42","1,101.55","1,147.50","1,277.67","1,439.39","1,409.94","1,353.41","1,464.89","1,404.41","1,527.77","1,604.63","1,382.65","1,412.87","1,468.93","1,585.96","1,533.16","1,539.35","1,667.32","1,566.25","1,699.68","1,794.43","1,836.54","1,857.60","1,869.93","1,870.06"
カナダ,"24,296.72","23,859.71","24,279.19","28,338.75","32,176.59","36,439.62","40,558.90","44,716.99","46,773.84","40,990.63","47,627.35","52,285.94","52,744.00","52,708.61","51,020.84","43,626.47","42,382.64","45,191.99","46,625.86","46,449.96","43,383.71","52,387.81","55,085.45","52,722.48","54,233.87","56,046.75","57,888.10","59,762.03","61,748.65"
チリ,"5,099.92","4,608.06","4,479.77","4,824.87","6,183.91","7,558.01","9,410.39","10,447.12","10,759.74","10,176.73","12,723.06","14,560.25","15,316.01","15,740.39","14,582.85","13,494.49","13,722.88","15,003.77","15,755.00","14,567.99","13,067.74","16,059.80","15,094.83","17,827.41","18,510.22","19,071.74","19,613.08","20,247.79","20,971.27"
中国,951.163,"1,044.96","1,141.14","1,282.21","1,499.71","1,751.37","2,095.24","2,691.05","3,446.70","3,813.41","4,499.80","5,553.24","6,282.71","7,039.57","7,645.88","8,034.29","8,063.45","8,760.26","9,848.95","10,170.06","10,525.00","12,572.07","12,813.77","13,721.05","14,800.65","15,901.10","17,082.89","18,316.86","19,622.73"
コロンビア,"2,535.48","2,461.33","2,424.35","2,313.54","2,827.17","3,493.98","3,836.68","4,834.42","5,622.11","5,330.80","6,498.59","7,518.30","8,237.29","8,409.69","8,312.06","6,337.02","6,037.13","6,577.29","6,923.64","6,540.14","5,363.07","6,239.27","6,664.27","6,417.05","6,592.58","6,848.88","7,151.31","7,464.12","7,790.61"
クロアチア,"5,053.53","5,363.19","6,216.13","8,191.30","9,718.25","10,453.25","11,490.02","13,730.88","15,855.12","14,372.18","13,676.69","14,619.95","13,417.80","13,948.88","13,976.06","12,070.74","12,548.25","13,556.32","15,009.09","15,089.10","14,224.02","17,759.92","18,427.26","20,537.08","21,648.73","22,692.26","23,706.24","24,663.41","25,514.95"
デンマーク,"30,798.72","30,806.61","33,275.56","40,512.05","46,571.28","48,872.10","52,121.25","58,641.19","64,531.12","58,286.54","58,177.16","61,864.09","58,623.41","61,325.58","62,729.50","53,478.50","54,862.85","57,772.55","61,724.49","59,678.60","61,005.84","68,202.07","66,516.08","68,827.43","71,018.78","73,770.87","76,588.15","79,571.86","82,680.75"
