,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
アルゼンチン,36.784,37.156,37.516,37.87,38.226,38.592,38.971,39.356,39.746,40.134,40.788,41.261,41.733,42.203,42.67,43.132,43.59,44.045,44.495,44.939,45.388,45.842,46.3,46.763,47.231,47.703,48.18,48.662,49.149
オーストラリア,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.386,24.761,25.151,25.527,25.639,25.767,25.973,26.284,26.626,26.959,27.282,27.468,27.798
オーストリア,8.012,8.042,8.082,8.118,8.169,8.225,8.268,8.295,8.322,8.341,8.361,8.389,8.426,8.477,8.544,8.63,8.74,8.815,8.885,8.859,8.901,8.98,9.025,9.07,9.115,9.161,9.207,9.253,9.302
アゼルバイジャン,8.033,8.114,8.191,8.269,8.349,8.447,8.553,8.666,8.78,8.922,8.998,9.111,9.235,9.357,9.477,9.593,9.706,9.81,9.898,9.982,10.067,10.119,10.241,10.363,10.488,10.614,10.741,10.87,11
バーレーン,0.638,0.661,0.711,0.765,0.824,0.889,0.96,1.039,1.107,1.178,1.235,1.195,1.209,1.253,1.315,1.37,1.424,1.501,1.503,1.484,1.472,1.504,1.542,1.581,1.62,1.661,1.703,1.745,1.789
バングラデシュ,127.658,130.089,132.478,134.792,136.986,139.036,140.921,142.66,144.304,145.925,147.575,149.274,151.008,152.765,154.52,156.256,157.971,159.671,161.356,163.046,164.689,166.657,168.52,170.279,172.019,173.736,175.423,177.07,178.681
ベラルーシ,9.99,9.957,9.9,9.831,9.763,9.697,9.63,9.579,9.542,9.514,9.496,9.472,9.451,9.442,9.444,9.453,9.469,9.47,9.448,9.429,9.41,9.35,9.303,9.257,9.21,9.164,9.119,9.073,9.028
ブラジル,173.766,176.209,178.499,180.708,182.865,184.991,187.062,189.038,191.01,192.981,194.891,196.604,198.315,200.004,201.718,203.476,205.157,206.805,208.495,210.147,211.756,212.609,213.911,215.157,216.347,217.479,218.618,221.948,227.549
カンボジア,12.223,12.473,12.709,12.934,13.149,13.356,13.555,13.747,13.941,14.096,14.251,14.406,14.561,14.716,14.871,15.026,15.181,15.336,15.491,15.6,15.678,15.835,15.993,16.153,16.315,16.478,16.643,16.809,16.977
カメルーン,15.514,15.929,16.358,16.801,17.259,17.733,18.224,18.73,19.253,19.79,20.341,20.906,21.485,22.077,22.682,23.298,23.927,24.566,25.216,25.876,26.546,27.224,27.912,28.608,29.315,30.032,30.759,31.496,32.244
カナダ,30.647,30.971,31.309,31.603,31.901,32.204,32.529,32.849,33.199,33.581,33.958,34.298,34.665,35.034,35.392,35.678,36.052,36.495,37.003,37.54,37.977,38.205,38.846,39.635,40.174,40.697,41.207,41.705,42.19
チリ,15.343,15.52,15.692,15.857,16.022,16.183,16.348,16.518,16.698,16.881,17.064,17.254,17.443,17.612,17.788,17.971,18.167,18.419,18.751,19.107,19.458,19.718,19.923,20.113,20.297,20.482,20.67,20.859,21.05
中国,"1,267.43","1,276.27","1,284.53","1,292.27","1,299.88","1,307.56","1,314.48","1,321.29","1,328.02","1,334.50","1,340.91","1,349.16","1,359.22","1,367.26","1,376.46","1,383.26","1,392.32","1,400.11","1,405.41","1,410.08","1,412.12","1,412.60","1,412.55","1,411.96","1,410.84","1,409.19","1,407.01","1,404.30","1,401.07"
コロンビア,39.152,39.656,40.156,40.661,41.166,41.672,42.17,42.659,43.134,43.609,44.086,44.553,45.002,45.435,45.866,46.314,46.83,47.419,48.258,49.396,50.372,51.049,51.609,52.156,52.691,53.217,53.732,54.253,54.779
クロアチア,4.381,4.3,4.302,4.303,4.305,4.31,4.311,4.31,4.31,4.305,4.295,4.281,4.268,4.256,4.238,4.204,4.174,4.125,4.088,4.065,4.048,3.879,3.854,3.841,3.832,3.836,3.848,3.859,3.871
デンマーク,5.33,5.349,5.368,5.384,5.398,5.411,5.427,5.447,5.476,5.511,5.535,5.561,5.581,5.603,5.627,5.66,5.707,5.749,5.781,5.806,5.823,5.84,5.873,5.893,5.912,5.932,5.953,5.974,5.996
エクアドル,12.531,12.815,13.094,13.32,13.552,13.721,13.965,14.215,14.473,14.738,15.012,15.266,15.521,15.775,16.027,16.279,16.529,16.777,17.023,17.268,17.511,17.757,18.006,18.259,18.516,18.776,19.04,19.307,19.579
エジプト,64,65.3,66.6,68,69.3,70.7,72.2,73.6,75.2,76.9,78.7,80.5,82.5,84.6,86.8,89,91,95.2,97.1,98.9,100.6,102.1,104.142,106.225,108.349,110.516,112.727,114.981,118.431
エストニア,1.397,1.388,1.379,1.371,1.363,1.355,1.347,1.341,1.337,1.335,1.331,1.327,1.323,1.318,1.315,1.315,1.316,1.317,1.322,1.327,1.33,1.331,1.332,1.331,1.331,1.33,1.328,1.327,1.325
エチオピア,60.03,61.591,63.192,64.835,66.521,68.25,70.025,72.421,74.879,76.826,78.824,80.7,82.7,84.8,87,89.1,91.2,93.4,95.5,97.6,99.7,101.9,104.082,105.747,107.439,109.158,110.905,112.679,114.482
フィンランド,5.171,5.181,5.195,5.206,5.22,5.237,5.256,5.277,5.3,5.326,5.351,5.375,5.401,5.427,5.451,5.472,5.487,5.503,5.513,5.518,5.525,5.534,5.548,5.55,5.551,5.549,5.547,5.544,5.541
フランス,58.858,59.267,59.686,60.102,60.505,60.963,61.4,61.795,62.135,62.466,62.765,63.07,63.376,63.698,64.028,64.301,64.469,64.639,64.844,65.097,65.269,65.45,65.647,65.832,66.016,66.201,66.387,66.573,66.76
グルジア,4.117,4.038,3.991,3.966,3.938,3.917,3.888,3.873,3.848,3.829,3.8,3.774,3.739,3.718,3.717,3.722,3.729,3.726,3.73,3.724,3.717,3.729,3.689,3.677,3.665,3.652,3.639,3.625,3.626
ドイツ,81.457,81.518,81.579,81.549,81.456,81.337,81.174,80.993,80.764,80.483,80.285,80.276,80.426,80.646,80.983,81.687,82.349,82.657,82.906,83.093,83.161,83.196,83.794,83.857,83.885,83.877,83.834,83.778,83.711
ガーナ,18.912,19.397,19.883,20.371,20.859,21.367,21.876,22.388,22.901,23.417,24.659,25.261,25.867,26.479,27.092,27.707,28.324,28.94,29.555,30.168,30.779,31.394,32.082,32.902,33.743,34.605,35.49,36.397,37.328
ギリシャ,10.776,10.836,10.888,10.916,10.94,10.97,11.005,11.036,11.061,11.095,11.119,11.123,11.086,11.004,10.927,10.858,10.784,10.768,10.741,10.725,10.719,10.679,10.635,10.591,10.547,10.504,10.461,10.418,10.375
グアテマラ,11.651,11.925,12.209,12.5,12.797,13.096,13.397,13.7,14.006,14.316,14.63,14.949,15.271,15.596,15.923,16.252,16.583,16.92,17.265,17.616,17.974,18.34,18.713,19.094,19.482,19.879,20.283,20.696,21.117
香港,6.712,6.73,6.726,6.764,6.798,6.838,6.904,6.938,6.964,6.996,7.052,7.11,7.171,7.211,7.253,7.31,7.378,7.415,7.488,7.521,7.427,7.402,7.333,7.302,7.308,7.35,7.393,7.436,7.479
ハンガリー,10.222,10.2,10.175,10.142,10.117,10.098,10.077,10.066,10.045,10.031,10.014,9.986,9.932,9.909,9.877,9.856,9.83,9.798,9.778,9.773,9.77,9.731,9.727,9.724,9.72,9.717,9.713,9.71,9.707
インド,"1,059.63","1,078.97","1,098.31","1,117.42","1,136.27","1,154.64","1,172.37","1,189.69","1,206.74","1,223.64","1,240.61","1,257.62","1,274.49","1,291.13","1,307.25","1,322.87","1,338.64","1,354.20","1,369.00","1,383.11","1,396.39","1,409.95","1,423.33","1,436.51","1,449.46","1,462.17","1,474.61","1,486.78","1,498.67"
インドネシア,206.265,209.206,212.19,215.216,218.285,221.398,224.555,227.758,231.006,234.3,237.641,241.991,245.425,248.818,252.165,255.588,258.497,261.356,264.162,266.912,270.204,272.249,274.859,277.432,279.965,282.455,284.896,287.285,289.62
アイルランド,3.828,3.889,3.956,4.021,4.1,4.2,4.321,4.445,4.516,4.547,4.568,4.585,4.605,4.631,4.667,4.714,4.771,4.825,4.886,4.949,4.992,5.038,5.134,5.185,5.237,5.289,5.342,5.395,5.449
イスラエル,6.286,6.436,6.567,6.687,6.806,6.927,7.052,7.176,7.307,7.482,7.621,7.763,7.907,8.056,8.212,8.377,8.543,8.71,8.879,9.051,9.214,9.367,9.551,9.709,9.871,10.035,10.201,10.371,10.543
イタリア,56.924,56.961,56.993,57.186,57.612,58.044,58.289,58.511,59.002,59.421,59.69,59.948,60.105,60.277,60.346,60.295,60.164,60.067,59.938,59.817,59.641,59.03,58.98,58.941,58.912,58.895,58.874,58.849,58.82
ジャマイカ,2.582,2.605,2.62,2.629,2.639,2.648,2.658,2.667,2.677,2.686,2.696,2.703,2.71,2.713,2.716,2.719,2.722,2.726,2.731,2.734,2.737,2.74,2.743,2.747,2.75,2.753,2.756,2.759,2.762
日本,126.831,127.132,127.4,127.634,127.734,127.752,127.746,127.757,127.692,127.551,127.594,127.831,127.552,127.333,127.12,126.978,126.96,126.746,126.495,126.221,125.849,125.507,125.171,124.621,124.04,123.43,122.795,122.136,121.456
カザフスタン,14.866,14.851,14.867,14.951,15.075,15.219,15.397,15.572,15.982,16.203,16.441,16.674,16.91,17.161,17.416,17.67,17.918,18.157,18.396,18.632,18.877,19.503,19.737,19.964,20.184,20.396,20.61,20.816,21.024
ケニア,29.5,30.3,31.1,32,32.9,33.8,34.7,35.7,36.7,37.7,38.6,39.5,40.4,41.4,42.4,43.3,44.3,45.4,46.5,47.6,48.693,49.801,50.924,52.062,53.216,54.384,55.567,56.765,57.977
