,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年,2019年,2020年,2021年,2022年,2023年,2024年,2025年,2026年,2027年,2028年
アルゼンチン,17.13,19.21,22.45,17.25,13.63,11.58,10.18,8.48,7.88,8.68,7.75,7.15,7.20,7.08,7.25,6.53,8.47,8.35,9.20,9.83,11.55,8.75,7.00,7.60,7.40,7.40,7.40,7.40,7.40
オーストラリア,6.29,6.78,6.36,5.94,5.38,5.03,4.79,4.38,4.25,5.58,5.21,5.08,5.23,5.66,6.06,6.05,5.71,5.58,5.29,5.19,6.49,5.10,3.71,3.96,4.13,4.46,4.51,4.65,4.63
オーストリア,3.88,4.01,4.39,4.79,5.89,6.02,5.63,5.19,4.44,5.72,5.18,4.90,5.24,5.35,6.04,6.17,6.47,5.93,5.21,4.82,5.48,6.17,4.77,5.35,5.56,5.41,5.29,5.17,5.18
アゼルバイジャン,11.78,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5.04,4.96,4.94,4.85,7.16,5.95,5.89,5.82,5.76,5.69,5.63,5.56,5.50
ベラルーシ,6.96,7.10,7.47,7.93,7.35,6.57,6.30,5.96,5.84,5.81,5.74,5.59,5.54,5.44,5.42,5.82,5.92,5.68,4.83,4.19,4.08,3.93,4.50,4.31,3.90,3.80,3.75,3.75,3.75
ブラジル,13.90,12.50,13.00,13.70,12.90,11.40,11.50,10.90,9.40,9.70,8.50,7.80,6.90,6.30,6.60,9.10,12.20,11.90,11.70,11.10,14.20,11.10,7.90,8.21,8.13,8.12,8.11,8.09,8.09
カナダ,6.83,7.23,7.68,7.59,7.15,6.75,6.45,6.16,6.31,8.46,8.14,7.62,7.41,7.18,7.03,6.95,7.03,6.41,5.85,5.70,9.73,7.51,5.28,5.83,6.18,6.09,6.00,6.00,6.00
チリ,9.71,9.87,9.80,9.53,10.02,9.30,7.95,7.01,7.75,11.05,8.31,7.30,6.60,6.08,6.50,6.33,6.69,6.97,7.38,7.22,10.77,8.86,7.88,8.28,7.91,7.66,7.41,7.17,7.21
中国,3.10,3.60,4.00,4.30,4.20,4.20,4.10,4.00,4.20,4.30,4.14,4.09,4.09,4.05,4.09,4.05,4.02,3.90,3.80,3.62,4.24,3.96,4.20,4.10,3.90,3.80,3.70,3.60,3.50
コロンビア,13.33,14.98,15.58,14.11,13.67,11.81,12.04,11.19,11.25,12.21,11.99,11.05,10.62,9.89,9.40,9.20,9.54,9.68,9.96,10.89,16.67,13.80,11.22,11.33,10.94,10.55,9.89,9.62,9.35
クロアチア,20.59,21.51,21.78,19.07,17.78,17.58,16.53,14.73,13.03,14.52,17.17,17.37,18.60,19.81,19.28,17.07,14.96,12.43,9.86,7.76,9.00,8.09,6.78,6.41,5.95,5.68,5.49,5.31,5.12
デンマーク,4.32,4.51,4.64,5.43,5.52,4.80,3.90,3.78,3.70,6.44,7.75,7.76,7.79,7.37,6.92,6.27,5.98,5.83,5.13,5.00,5.63,5.08,4.47,5.10,5.10,5.00,5.00,5.00,5.00
エクアドル,7.63,9.55,7.83,10.16,7.22,7.10,6.69,6.92,5.95,6.47,5.02,4.21,4.12,4.15,3.80,4.77,5.21,4.62,3.69,3.84,5.35,4.68,3.80,3.58,3.60,3.57,3.54,3.54,3.54
エジプト,9.00,8.81,10.05,11.28,10.53,11.47,10.92,9.21,8.68,9.37,9.21,10.38,12.37,12.99,13.37,12.86,12.71,12.25,10.93,8.61,8.30,7.29,7.32,7.65,7.72,7.53,7.38,7.18,6.92
エストニア,14.60,13.01,11.23,10.34,10.14,8.03,5.91,4.59,5.46,13.55,16.71,12.33,10.02,8.63,7.35,6.19,6.76,5.76,5.37,4.45,6.81,6.18,5.57,6.15,5.74,5.46,5.06,4.80,4.37
フィンランド,9.88,9.20,9.18,9.08,8.88,8.48,7.78,6.95,6.43,8.33,8.50,7.90,7.80,8.33,8.83,9.58,8.98,8.83,7.43,6.73,7.77,7.61,6.78,7.47,7.50,7.40,7.30,7.20,7.10
フランス,9.18,8.46,8.28,8.52,8.88,8.88,8.85,8.03,7.44,9.12,9.27,9.21,9.78,10.30,10.28,10.35,10.07,9.42,9.03,8.42,8.03,7.88,7.29,7.36,7.27,6.93,6.82,6.72,6.66
グルジア,10.30,11.10,13.50,12.70,13.90,15.10,15.40,17.40,17.90,18.30,27.20,27.20,26.70,26.40,23.00,21.90,21.70,21.60,19.20,17.60,18.50,20.60,18.69,19.51,20.19,20.18,20.03,20.73,20.81
ドイツ,7.95,7.80,8.60,9.71,10.33,11.01,10.04,8.54,7.43,7.23,6.58,5.52,5.08,4.95,4.71,4.37,3.91,3.57,3.21,2.98,3.63,3.58,3.07,3.27,3.33,3.12,3.05,3.00,2.96
ギリシャ,11.35,10.78,10.35,9.78,10.60,10.00,9.00,8.40,7.75,9.60,12.73,17.85,24.43,27.48,26.50,24.90,23.55,21.45,19.30,17.33,16.33,14.78,12.20,11.20,10.39,9.98,9.55,9.15,9.00
香港,4.95,5.09,7.32,7.94,6.81,5.59,4.79,4.01,3.52,5.26,4.33,3.42,3.29,3.40,3.30,3.32,3.39,3.12,2.81,2.92,5.81,5.18,4.20,3.43,3.35,3.27,3.19,3.12,3.04
ハンガリー,6.43,5.74,5.84,5.90,6.12,6.80,7.08,7.00,7.47,9.74,10.88,10.74,10.73,9.91,7.55,6.66,5.00,4.08,3.63,3.34,4.16,4.07,3.60,4.08,3.79,3.56,3.36,3.27,3.17
インドネシア,6.08,8.10,9.06,9.67,9.86,11.24,10.28,9.11,8.39,7.87,7.14,6.56,6.14,6.25,5.94,6.18,5.61,5.50,5.24,5.18,7.07,6.49,5.86,5.30,5.20,5.10,5.10,5.10,5.10
アイルランド,4.39,4.18,4.73,4.85,4.75,4.63,4.78,5.00,6.81,12.64,14.59,15.40,15.49,13.77,11.89,9.93,8.38,6.76,5.78,4.96,5.86,6.25,4.50,4.48,4.52,4.50,4.55,4.48,4.51
イスラエル,10.90,11.63,12.88,13.40,12.90,11.20,10.45,9.15,7.65,9.43,8.25,7.05,6.88,6.22,5.88,5.24,4.83,4.23,4.00,3.82,4.28,4.95,3.76,3.80,3.70,3.70,3.70,3.70,3.70
イタリア,10.10,9.10,8.61,8.45,8.03,7.76,6.87,6.20,6.79,7.87,8.50,8.59,10.89,12.35,12.79,12.03,11.72,11.30,10.62,9.90,9.34,9.52,8.09,8.30,8.42,8.40,8.35,8.30,8.25
日本,4.73,5.04,5.36,5.24,4.73,4.43,4.12,3.83,3.98,5.08,5.06,4.58,4.33,4.01,3.58,3.38,3.11,2.83,2.44,2.36,2.78,2.82,2.56,2.30,2.30,2.30,2.30,2.30,2.30
カザフスタン,12.75,10.43,9.32,8.75,8.38,8.09,7.79,7.26,6.63,6.55,5.76,5.39,5.28,5.19,5.14,5.04,4.93,4.87,4.83,4.79,4.93,4.90,4.90,4.80,4.80,4.80,4.80,4.80,4.80
韓国,4.43,4.00,3.26,3.55,3.66,3.75,3.48,3.26,3.18,3.63,3.71,3.41,3.23,3.10,3.49,3.59,3.68,3.68,3.83,3.78,3.94,3.68,2.88,3.65,3.68,3.67,3.64,3.61,3.59
マレーシア,3.10,3.68,3.48,3.60,3.55,3.55,3.33,3.23,3.33,3.68,3.30,3.05,3.03,3.10,2.88,3.15,3.45,3.43,3.33,3.28,4.53,4.65,3.83,3.63,3.53,3.53,3.53,3.53,3.53
メキシコ,2.20,2.77,2.98,3.40,3.92,3.48,3.53,3.61,3.89,5.33,5.27,5.17,4.89,4.91,4.84,4.35,3.88,3.42,3.32,3.49,4.41,4.14,3.27,3.28,3.47,3.56,3.65,3.72,3.78
モロッコ,13.45,12.33,11.44,11.51,10.73,11.02,10.90,9.70,9.50,9.00,9.20,8.50,8.70,9.50,9.70,9.20,9.00,10.60,9.40,10.20,12.20,11.90,12.90,10.96,10.51,10.05,9.57,9.48,9.38
オランダ,3.66,3.14,3.67,5.92,6.77,6.96,6.08,5.30,4.77,5.42,6.08,6.05,6.82,8.20,8.34,7.89,7.01,5.87,4.88,4.44,4.85,4.23,3.54,3.90,4.20,4.50,4.70,4.90,5.20
ニュージーランド,6.15,5.48,5.30,4.75,4.03,3.80,3.88,3.63,4.03,5.90,6.20,6.05,6.45,5.83,5.43,5.43,5.18,4.75,4.30,4.13,4.60,3.75,3.30,4.27,5.34,5.05,4.79,4.51,4.39
ノルウェー,3.43,3.55,3.89,4.49,4.47,4.62,3.44,2.54,2.75,3.27,3.79,3.36,3.29,3.77,3.62,4.53,4.74,4.22,3.85,3.73,4.60,4.41,3.25,3.50,3.70,3.60,3.60,3.60,3.60
パキスタン,7.82,7.82,8.27,8.27,7.69,7.69,6.20,5.20,5.20,5.46,5.55,5.95,5.95,5.98,6.00,5.90,5.88,5.83,5.80,6.90,6.56,6.30,6.20,7.00,6.80,6.60,6.00,5.50,5.00
ペルー,7.85,9.25,9.42,9.42,9.44,9.58,8.54,8.42,8.38,8.39,7.88,7.73,6.80,5.95,5.94,6.49,6.74,6.88,6.70,6.58,13.00,10.70,7.80,7.55,7.40,7.30,7.20,7.00,6.80
フィリピン,11.18,11.13,11.40,11.40,11.83,11.35,7.95,7.33,7.40,7.48,7.33,7.03,6.98,7.08,6.80,6.28,5.48,5.73,5.33,5.10,10.40,7.78,5.40,5.26,5.08,5.08,5.08,5.08,5.08
ポーランド,16.09,18.24,20.24,19.94,19.28,18.05,14.17,9.94,7.47,8.51,9.64,9.63,10.09,10.33,8.99,7.50,6.16,4.89,3.85,3.28,3.16,3.36,2.89,3.18,3.48,3.39,3.39,3.39,3.39
ポルトガル,4.72,4.80,5.78,7.04,7.39,8.34,8.41,8.72,8.32,10.18,11.51,13.45,16.52,17.09,14.54,12.94,11.45,9.23,7.18,6.68,7.14,6.58,6.03,6.57,6.48,6.34,6.24,6.24,6.24
ルーマニア,7.59,7.39,8.32,7.75,7.98,7.13,7.18,6.34,5.60,8.43,9.03,9.09,8.69,8.99,8.59,8.39,7.20,6.09,5.25,4.89,6.08,5.61,5.63,5.60,5.40,5.30,5.20,5.10,5.00
ロシア,10.56,8.94,8.04,8.23,7.73,7.15,7.05,6.03,6.23,8.24,7.36,6.51,5.45,5.50,5.16,5.58,5.53,5.20,4.80,4.60,5.78,4.83,3.94,3.61,4.30,4.51,4.57,4.72,4.71
シンガポール,2.68,2.65,3.55,3.95,3.35,3.13,2.65,2.13,2.23,3.03,2.18,2.03,1.95,1.90,1.95,1.90,2.08,2.18,2.10,2.25,3.00,2.65,2.10,2.10,2.10,2.10,2.10,2.10,2.00
南アフリカ,23.00,25.95,27.80,27.65,25.15,24.65,23.55,23.00,22.53,23.70,24.88,24.80,24.88,24.73,25.10,25.35,26.73,27.45,27.13,28.70,29.18,34.30,33.50,34.72,34.70,34.83,35.11,35.38,35.65
スペイン,13.86,10.54,11.45,11.49,10.97,9.15,8.45,8.23,11.25,17.86,19.86,21.39,24.79,26.10,24.44,22.06,19.64,17.23,15.26,14.11,15.53,14.79,12.92,12.63,12.44,12.14,12.14,12.14,12.14
スリランカ,7.57,7.90,8.80,8.40,8.30,7.70,6.60,6.20,6.00,5.90,5.00,4.10,4.00,4.40,4.30,4.70,4.40,4.20,4.40,4.80,5.50,5.10,5.25,5.00,4.75,4.40,4.40,4.40,4.40
